
2024/10/12 (07:56:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/13 (13:02:01) | ===> btop++ v.1.4.0
2024/10/13 (13:02:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/14 (22:37:48) | ===> btop++ v.1.4.0
2024/10/14 (22:37:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (03:12:17) | ===> btop++ v.1.4.0
2024/10/15 (03:12:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (03:33:54) | ===> btop++ v.1.4.0
2024/10/15 (03:33:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (08:07:27) | ===> btop++ v.1.4.0
2024/10/15 (08:07:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/15 (08:18:32) | ===> btop++ v.1.4.0
2024/10/15 (08:18:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (19:33:24) | ===> btop++ v.1.4.0
2024/10/18 (19:33:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/23 (16:02:09) | ===> btop++ v.1.4.0
2024/10/23 (16:02:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/03 (12:24:27) | ===> btop++ v.1.4.0
2024/11/03 (12:24:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/05 (22:40:25) | ===> btop++ v.1.4.0
2024/11/05 (22:40:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/06 (17:28:32) | ===> btop++ v.1.4.0
2024/11/06 (17:28:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/16 (20:53:13) | ===> btop++ v.1.4.0
2024/11/16 (20:53:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/17 (11:07:59) | ===> btop++ v.1.4.0
2024/11/17 (11:07:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/17 (11:10:56) | ===> btop++ v.1.4.0
2024/11/17 (11:10:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/17 (11:11:02) | ===> btop++ v.1.4.0
2024/11/17 (11:11:02) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/17 (11:13:03) | ===> btop++ v.1.4.0
2024/11/17 (11:13:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/17 (11:13:13) | ===> btop++ v.1.4.0
2024/11/17 (11:13:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (22:10:18) | ===> btop++ v.1.4.0
2024/11/18 (22:10:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/19 (19:56:25) | ===> btop++ v.1.4.0
2024/11/19 (19:56:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/23 (18:20:43) | ===> btop++ v.1.4.0
2024/11/23 (18:20:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/01 (14:41:37) | ===> btop++ v.1.4.0
2024/12/01 (14:41:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/01 (14:41:48) | ===> btop++ v.1.4.0
2024/12/01 (14:41:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/07 (13:12:05) | ===> btop++ v.1.4.0
2024/12/07 (13:12:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/07 (23:18:09) | ===> btop++ v.1.4.0
2024/12/07 (23:18:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (13:11:33) | ===> btop++ v.1.4.0
2024/12/08 (13:11:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (13:11:39) | ===> btop++ v.1.4.0
2024/12/08 (13:11:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/20 (09:11:26) | ===> btop++ v.1.4.0
2024/12/20 (09:11:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (18:35:57) | ===> btop++ v.1.4.0
2024/12/30 (18:35:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/30 (18:49:33) | ===> btop++ v.1.4.0
2024/12/30 (18:49:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (13:37:25) | ===> btop++ v.1.4.0
2024/12/31 (13:37:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (13:37:25) | ===> btop++ v.1.4.0
2024/12/31 (13:37:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (14:04:20) | ===> btop++ v.1.4.0
2024/12/31 (14:04:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (14:04:24) | ===> btop++ v.1.4.0
2024/12/31 (14:04:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (14:14:20) | ===> btop++ v.1.4.0
2024/12/31 (14:14:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/31 (14:22:28) | ===> btop++ v.1.4.0
2024/12/31 (14:22:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/02 (15:31:39) | ===> btop++ v.1.4.0
2025/01/02 (15:31:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/02 (17:06:14) | ===> btop++ v.1.4.0
2025/01/02 (17:06:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/02 (17:07:37) | ===> btop++ v.1.4.0
2025/01/02 (17:07:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/02 (19:22:41) | ===> btop++ v.1.4.0
2025/01/02 (19:22:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/02 (20:01:31) | ===> btop++ v.1.4.0
2025/01/02 (20:01:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/03 (22:02:10) | ===> btop++ v.1.4.0
2025/01/03 (22:02:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/03 (22:05:50) | ===> btop++ v.1.4.0
2025/01/03 (22:05:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/03 (22:29:40) | ===> btop++ v.1.4.0
2025/01/03 (22:29:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/04 (22:53:14) | ===> btop++ v.1.4.0
2025/01/04 (22:53:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (12:10:54) | ===> btop++ v.1.4.0
2025/01/06 (12:10:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (21:12:01) | ===> btop++ v.1.4.0
2025/01/06 (21:12:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (21:25:55) | ===> btop++ v.1.4.0
2025/01/06 (21:25:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (21:26:02) | ===> btop++ v.1.4.0
2025/01/06 (21:26:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/06 (21:26:25) | ===> btop++ v.1.4.0
2025/01/06 (21:26:25) | WARNING: Intel GPU: Failed to initialize PMU
